('吉林市骨伤医院', '二级甲等', '专科医院', '吉林省', '吉林市', '昌邑区', '126', '吉林市昌邑区天津街777号')
('杭州余杭叶纪昌西医内科诊所', None, '诊所', '浙江省', '杭州市', '余杭区', 0, '杭州市余杭区良渚街道美树公寓金德路86号')
('周斌牙科诊所', None, '诊所', '浙江省', '湖州市', '吴兴区', 0, '湖州市富城商楼步行街15号')
('杭州胡庆余堂国药号有限公司良渚文化村中医诊所', None, '诊所', '浙江省', '杭州市', '余杭区', 0, '杭州市余杭区良渚街道文化村白鹭郡南56-19号')
('生平牙科诊所', None, '诊所', '浙江省', '湖州市', '吴兴区', 0, '湖州市南街276号')
('宁波江北拜博拜尔口腔医院', None, '专科医院', '浙江省', '宁波市', '江北区', 0, '宁波江北槐树路56-58-60号、钻石商业广场1号021幢')
('姚建强口腔诊所', None, '诊所', '浙江省', '湖州市', '吴兴区', 0, '湖州市吴兴区织里镇吴兴区大道59号')
('湖州吴兴伟成口腔诊所', None, '诊所', '浙江省', '湖州市', '吴兴区', 0, '湖州市连家巷路69-71号')
('杭州余杭郑彩英西医内科诊所', None, '诊所', '浙江省', '杭州市', '余杭区', 0, '杭州市余杭区良渚街道棕榈路87-89号')
('岱山县长涂镇中心卫生院长西社区卫生服务站', None, '社区卫生服务中心', '浙江省', '舟山市', '岱山县', 0, '岱山县长涂镇中段路4号')
('长兴雉城陈其良西医诊所', None, '诊所', '浙江省', '湖州市', '长兴县', 0, '长兴县雉城街道解放西路252号')
('岱山县长涂镇中心卫生院东剑社区卫生服务站', None, '社区卫生服务中心', '浙江省', '舟山市', '岱山县', 0, '岱山县长涂镇东剑路下6号')
('杭州市余杭区仁和街道社区卫生服务中心普宁村社区卫生服务站', None, '社区卫生服务中心', '浙江省', '杭州市', '余杭区', 0, '杭州市余杭区仁和街道普宁村')
('浙江大学校医院（西溪校区分院）', None, '综合医院', '浙江省', '杭州市', '西湖区', 0, '杭州市天目山路148号')
('杭州余杭何备连中西医结合诊所', None, '诊所', '浙江省', '杭州市', '余杭区', 0, '杭州市余杭区良渚镇良港村打网村18号')
('浙江大学医学院附属第一医院余杭良渚门诊部', None, '门诊部', '浙江省', '杭州市', '余杭区', 0, '杭州市余杭区良渚文化村随园嘉树')
('宁海茶院张贤达口腔诊所', None, '诊所', '浙江省', '宁波市', '宁海县', 0, '宁海县茶院乡茶院村张家')
('宁海跃龙潘乾根西医诊所', None, '诊所', '浙江省', '宁波市', '宁海县', 0, '宁海县跃龙街道怡惠路286-1号')
('宁海跃龙龚成超西医诊所', None, '诊所', '浙江省', '宁波市', '宁海县', 0, '宁海县跃龙街道淮河路57号')
('金海湾综合门诊部', None, '门诊部', '浙江省', '舟山市', '岱山县', 0, '岱山县长涂镇金海重工有限公司内8号楼')
('杭州玛莉亚妇产医院', None, '专科医院', '浙江省', '杭州市', '上城区', 0, '上城区秋涛路300号')
('吴兴徐水明口腔诊所', None, '诊所', '浙江省', '湖州市', '吴兴区', 0, '湖州市华丰高富路150号，152号店面')
('杭州复兴口腔诊所', None, '诊所', '浙江省', '杭州市', '上城区', 0, '杭州市上城区复兴路425号')
('湖州康山街道王杏花口腔诊所', None, '诊所', '浙江省', '湖州市', '吴兴区', 0, '湖州市星汇半岛B2幢港南路581-583号')
('邱萍萍口腔诊所', None, '诊所', '浙江省', '湖州市', '吴兴区', 0, '湖州市轻纺路187号')
('龙泉市安仁镇中心卫生院福源分院', None, '乡镇卫生院', '浙江省', '丽水市', '龙泉市', 0, '龙泉市安仁镇安福村')
('陈秉贤牙科诊所', None, '诊所', '浙江省', '湖州市', '吴兴区', 0, '湖州市新市陌路67号')
('浙江医院分院', None, '综合医院', '浙江省', '杭州市', '西湖区', '100', '杭州市西湖区三墩镇三墩街241号')
('杭州市余杭区仁和街道社区卫生服务中心平宅村社区卫生服务站', None, '社区卫生服务中心', '浙江省', '杭州市', '余杭区', 0, '杭州市余杭区仁和街道平宅村')
('桐乡崇福马黎晓口腔诊所', None, '诊所', '浙江省', '嘉兴市', '桐乡市', 0, '桐乡市崇福镇世纪大道898-900号')
('胡志利口腔诊所', None, '诊所', '浙江省', '湖州市', '吴兴区', 0, '湖州市青铜路52号')
('杭州市余杭区仁和街道社区卫生服务中心九龙村社区卫生服务站', None, '社区卫生服务中心', '浙江省', '杭州市', '余杭区', 0, '杭州市余杭区仁和街道九龙村汪家里')
('陆蔚人口腔诊所', None, '诊所', '浙江省', '湖州市', '吴兴区', 0, '湖州市嘉业阳光城阳光一路二层19-21号')
('宁海跃龙林栋柱中医诊所', None, '诊所', '浙江省', '宁波市', '宁海县', 0, '宁海县跃龙街道正学路29号')
('周国华口腔诊所', None, '诊所', '浙江省', '湖州市', '吴兴区', 0, '湖州市吉山南路253号')
('刘颖慧口腔诊所', None, '诊所', '浙江省', '湖州市', '吴兴区', 0, '湖州市龙溪北路202-206号')
('欣祥口腔诊所', None, '诊所', '浙江省', '湖州市', '吴兴区', 0, '湖州市龙溪街道罗师庄村广源路36号')
('杭州市余杭区仁和街道社区卫生服务中心奉口村社区卫生服务站', None, '社区卫生服务中心', '浙江省', '杭州市', '余杭区', 0, '杭州市余杭区仁和街道奉口村')
('杭州市余杭区仁和街道社区卫生服务中心永泰村社区卫生服务站', None, '社区卫生服务中心', '浙江省', '杭州市', '余杭区', 0, '杭州市余杭区仁和街道永泰村')
('杭州市余杭区仁和街道社区卫生服务中心东塘村社区卫生服务站', None, '社区卫生服务中心', '浙江省', '杭州市', '余杭区', 0, '杭州市余杭区仁和街道东塘村')
('杭州市余杭区仁和街道社区卫生服务中心栅庄桥村社区卫生服务站', None, '社区卫生服务中心', '浙江省', '杭州市', '余杭区', 0, '杭州市余杭区仁和街道栅庄桥村15号')
('徐兆桂牙科诊所', None, '诊所', '浙江省', '湖州市', '吴兴区', 0, '湖州市塔下街43-47号')
('杭州市余杭区仁和街道社区卫生服务中心云会村社区卫生服务站', None, '社区卫生服务中心', '浙江省', '杭州市', '余杭区', 0, '杭州市余杭区仁和街道云会村')
('新华路口腔诊所', None, '诊所', '浙江省', '湖州市', '吴兴区', 0, '湖州市新华路37号2楼')
('乐清虹桥陈勇内科诊所', None, '诊所', '浙江省', '温州市', '乐清市', 0, '乐清市虹桥镇蒲岐北门街94号')
('汪利来牙科诊所', None, '诊所', '浙江省', '湖州市', '吴兴区', 0, '湖州市吴兴区织里镇轧村振兴路')
('杭州市余杭区仁和街道社区卫生服务中心', None, '社区卫生服务中心', '浙江省', '杭州市', '余杭区', 0, '杭州市余杭区仁和街道獐山路8号')
('李朝刚口腔诊所', None, '诊所', '浙江省', '湖州市', '吴兴区', 0, '湖州市朝阳路47号')
('金华金东孝顺张小弟诊所', None, '诊所', '浙江省', '金华市', '金东区', 0, '金东区孝顺镇环镇南路84号')
('吴兴盛萍萍口腔诊所', None, '诊所', '浙江省', '湖州市', '吴兴区', 0, '湖州市建设路413-415号')
('温州市瓯海娄桥陈莉莉中医内科诊所', None, '诊所', '浙江省', '温州市', '瓯海区', 0, '温州市瓯海区娄桥街道长乐街45号')
('温州市瓯海区泽雅镇社区卫生服务中心北林垟社区卫生服务站', None, '社区卫生服务中心', '浙江省', '温州市', '瓯海区', 0, '温州市瓯海区泽雅镇胡坦村')
('温州市瓯海区泽雅镇社区卫生服务中心五凤垟社区卫生服务站', None, '社区卫生服务中心', '浙江省', '温州市', '瓯海区', 0, '温州市瓯海区泽雅镇五凤垟村')
('永康美莱医疗美容门诊部', None, '门诊部', '浙江省', '金华市', '永康市', 0, '永康市东城街道城北东路180-188号')
('温州市瓯海区泽雅镇社区卫生服务中心西岸社区卫生服务站', None, '社区卫生服务中心', '浙江省', '温州市', '瓯海区', 0, '温州市瓯海区泽雅镇西岸村')
('永康云山吕锋骨伤科门诊部', None, '门诊部', '浙江省', '金华市', '永康市', 0, '永康市江南街道恒丰路170号')
('杭州经济技术开发区秋阳西医诊所', None, '诊所', '浙江省', '杭州市', '江干区', 0, '杭州经济技术开发区智格社区77号一楼南')
('温州市瓯海瞿溪虞品旺西医内科诊所', None, '诊所', '浙江省', '温州市', '瓯海区', 0, '温州市瓯海区瞿溪街道瞿雄路424号')
('杭州雪莲医院管理有限公司香积寺路诊所', None, '诊所', '浙江省', '杭州市', '拱墅区', 0, '杭州市拱墅区香积寺路311号—1')
('龙游塔石洪发林中医诊所', None, '诊所', '浙江省', '衡州市', '龙游县', 0, '龙游县塔石镇舒村村龙背路1号')
('杭州贝佳齿科有限公司香积寺路口腔门诊部', None, '诊所', '浙江省', '杭州市', '拱墅区', 0, '杭州市拱墅区香积寺路259号')
('温州市瓯海区泽雅镇社区卫生服务中心陈岙社区卫生服务站', None, '社区卫生服务中心', '浙江省', '温州市', '瓯海区', 0, '温州市瓯海区泽雅镇上陈村')
('杭州博雅医疗美容门诊部', None, '门诊部', '浙江省', '杭州市', '拱墅区', 0, '杭州市拱墅区湖墅南路271号中环大厦301-305室')
('温州市瓯海区泽雅镇社区卫生服务中心周岙社区卫生服务站', None, '社区卫生服务中心', '浙江省', '温州市', '瓯海区', 0, '温州市瓯海区泽雅镇下村村')
('宁海桃源张夏芳西医诊所', None, '诊所', '浙江省', '宁波市', '宁海县', 0, '宁海县桃源街道兴工一路176-178号')
('温州市瓯海区泽雅镇社区卫生服务中心', None, '社区卫生服务中心', '浙江省', '温州市', '瓯海区', 0, '温州市瓯海区泽雅镇泽雅大道102号')
('常山县球川镇中心卫生院姚建华口腔诊所', None, '诊所', '浙江省', '衡州市', '常山县', 0, '常山县球川镇红旗岗村')
('宁海跃龙史幼昌西医诊所', None, '诊所', '浙江省', '宁波市', '宁海县', 0, '宁海县跃龙街道北斗北路275号')
('宁海桃源叶大胜西医诊所', None, '诊所', '浙江省', '宁波市', '宁海县', 0, '宁海县桃源街道上桥路56号')
('宁海跃龙童华增西医诊所', None, '诊所', '浙江省', '宁波市', '宁海县', 0, '宁海县跃龙街道银河路307号')
('温岭太平林泉口腔诊所', None, '诊所', '浙江省', '台州市', '温岭市', 0, '温岭市太平街道万昌西路109号')
('浙江医院', '三级甲等', '综合医院', '浙江省', '杭州市', '西湖区', '700', '杭州市灵隐路12号')
('宁海跃龙田太溪西医诊所', None, '诊所', '浙江省', '宁波市', '宁海县', 0, '宁海县跃龙街道怡惠路329号')
('乐清柳市李振孟中医诊所', None, '诊所', '浙江省', '温州市', '乐清市', 0, '乐清市柳市镇翔金垟村(李方垣房)')
('绍兴市柯桥区福全镇卫生院', None, '乡镇卫生院', '浙江省', '绍兴市', '柯桥区', 0, '绍兴市柯桥区福全镇金三角秋瑾路101号')
('乐清柳市朱建新内科诊所', None, '诊所', '浙江省', '温州市', '乐清市', 0, '乐清市柳市镇马仁桥二路7-9号')
('嘉善魏塘杨建业诊所', None, '诊所', '浙江省', '嘉兴市', '嘉善县', 0, '嘉善县罗星街道晋阳东路131号')
('乐清柳市前州内科诊所', None, '诊所', '浙江省', '温州市', '乐清市', 0, '乐清市柳市镇前州村（刘信光房）')
('乐清柳市郑玉荣内科诊所', None, '诊所', '浙江省', '温州市', '乐清市', 0, '乐清市柳市镇环城东路469号')
('杭州余杭良诚口腔门诊部', None, '门诊部', '浙江省', '杭州市', '余杭区', 0, '杭州市余杭区良渚街道玉琮路38号')
('建德市杨村桥镇卫生院', None, '乡镇卫生院', '浙江省', '杭州市', '建德市', '18', '建德市杨村桥镇百旗街2号')
('宁海桥头胡胡炳华西医诊所', None, '诊所', '浙江省', '宁波市', '宁海县', 0, '宁海县桥头胡街道桥井西路16号')
('乐清市第五人民医院', '二级乙等', '综合医院', '浙江省', '温州市', '乐清市', 0, '乐清市大荆镇小荆路27号')
('金东区曹宅镇午塘头社区卫生服务站', None, '社区卫生服务中心', '浙江省', '金华市', '金东区', 0, '金东区曹宅镇午塘头村广益西路60号')
('金东区曹宅镇龙一社区卫生服务站', None, '社区卫生服务中心', '浙江省', '金华市', '金东区', 0, '金东区曹宅镇龙一村')
('浙江省人民医院', '三级甲等', '综合医院', '浙江省', '杭州市', '下城区', 0, '杭州市上塘路158号')
('金华市金东区妇幼保健院', None, '妇幼保健院', '浙江省', '金华市', '金东区', 0, '金华市金东区康济南街100号')
('舟山市新城社区卫生服务中心城隍头社区卫生服务站', None, '社区卫生服务中心', '浙江省', '舟山市', '定海区', 0, '舟山市临城街道城隍头村')
('宁海县计划生育宣传技术指导站', None, '计划生育服务中心', '浙江省', '宁波市', '宁海县', 0, '宁海县跃龙街道人民路196号')
('舟山市新城社区卫生服务中心长峙社区卫生服务站', None, '社区卫生服务中心', '浙江省', '舟山市', '定海区', 0, '舟山市临城街道长峙三门1号')
('苍南灵溪温怀速西医内科诊所', None, '诊所', '浙江省', '温州市', '苍南县', 0, '苍南县灵溪镇东仓路195号')
('舟山市新城社区卫生服务中心桃湾社区卫生服务站', None, '社区卫生服务中心', '浙江省', '舟山市', '定海区', 0, '舟山市临城街道金岛路347-349-351')
('宁海天景广慈口腔门诊部', None, '门诊部', '浙江省', '宁波市', '宁海县', 0, '宁海县跃龙街道跃龙路67号')
('宁海跃龙王瑛西医诊所', None, '诊所', '浙江省', '宁波市', '宁海县', 0, '宁海县跃龙街道车河路50号')
('绍兴上虞卫国口腔诊所', None, '诊所', '浙江省', '绍兴市', '上虞区', 0, '绍兴市上虞区丰惠镇人民路146号')
('杭州市余杭区仁和街道社区卫生服务中心双陈村社区卫生服务站', None, '社区卫生服务中心', '浙江省', '杭州市', '余杭区', 0, '杭州市余杭区仁和街道双陈村')
('杭州市余杭区仁和街道社区卫生服务中心葛墩村社区卫生服务站', None, '社区卫生服务中心', '浙江省', '杭州市', '余杭区', 0, '杭州市余杭区仁和街道葛墩村')
('杭州市余杭区仁和街道社区卫生服务中心三白潭村社区卫生服务站', None, '社区卫生服务中心', '浙江省', '杭州市', '余杭区', 0, '杭州市余杭区仁和街道三白潭村')
('杭州市余杭区仁和街道社区卫生服务中心洛阳渔公桥村社区卫生服务站', None, '社区卫生服务中心', '浙江省', '杭州市', '余杭区', 0, '余杭区仁和街道洛阳渔公桥村')
('宁海跃龙仇海川西医诊所', None, '诊所', '浙江省', '宁波市', '宁海县', 0, '宁海县跃龙街道斗门张村')
('杭州富阳蒋婉婉中医诊所', None, '诊所', '浙江省', '杭州市', '富阳区', 0, '杭州市富阳区大源镇亭山西路18号')
('吴兴陈景康牙科诊所', None, '诊所', '浙江省', '湖州市', '吴兴区', 0, '湖州市勤劳街146号')
('乐清柳市民乐内科诊所', None, '诊所', '浙江省', '温州市', '乐清市', 0, '乐清市柳市镇蟾东村翁松祥房')
('浙江省人民医院（望江山院区）', '三级甲等', '综合医院', '浙江省', '杭州市', '西湖区', 0, '杭州市西湖区转塘双流642号')
('建德康复医院', None, '专科医院', '浙江省', '杭州市', '建德市', 0, '建德市洋溪街道新安江路579号')
('陈道水口腔门诊部', None, '门诊部', '浙江省', '宁波市', '鄞州区', 0, '宁波市鄞州区中河街道天童北路78、80号')
('杭州市余杭区仁和街道社区卫生服务中心永胜村社区卫生服务站', None, '社区卫生服务中心', '浙江省', '杭州市', '余杭区', 0, '余杭区仁和街道永胜村')
('杭州市余杭区仁和街道社区卫生服务中心东山村社区卫生服务站', None, '社区卫生服务中心', '浙江省', '杭州市', '余杭区', 0, '杭州市余杭区仁和街道东山村')
('杭州市余杭区仁和街道社区卫生服务中心新桥村社区卫生服务站', None, '社区卫生服务中心', '浙江省', '杭州市', '余杭区', 0, '杭州市余杭区仁和街道东塘新桥街道')
('杭州市余杭区仁和街道社区卫生服务中心花园村社区卫生服务站', None, '社区卫生服务中心', '浙江省', '杭州市', '余杭区', 0, '杭州市余杭区仁和街道花园村章桥')
('仙居横溪济世综合门诊部', None, '门诊部', '浙江省', '台州市', '仙居县', 0, '仙居县横溪镇临石路44-46号')
('宁海黄坛吕双绒口腔诊所', None, '诊所', '浙江省', '宁波市', '宁海县', 0, '宁海县黄坛镇兴坛路130号')
('金华市婺城区新狮街道骆家塘社区卫生服务站', None, '社区卫生服务中心', '浙江省', '金华市', '婺城区', 0, '金华市婺城区新狮街道骆家塘畅达街46号')
('浙江大学校医院', '二级甲等', '综合医院', '浙江省', '杭州市', '西湖区', '130', '杭州市浙大路38号')
('景宁安康精神病专科医院', None, '专科医院', '浙江省', '丽水市', '景宁畲族自治县', 0, '景宁畲族自治县鹤溪街道三枝树村头')
('舟山益民医药管理有限公司北蝉中西医诊所', None, '诊所', '浙江省', '舟山市', '定海区', 0, '定海区北蝉新街育才路25号')
('舟山益民医药管理有限公司白泉中西医诊所', None, '诊所', '浙江省', '舟山市', '定海区', 0, '定海区白泉镇白泉路54号')
('杭州市余杭区良渚街道社区卫生服务中心东塘河村社区卫生服务站', None, '社区卫生服务中心', '浙江省', '杭州市', '余杭区', 0, '杭州市余杭区良渚街道东塘河村徐家坝33号')
('杭州市余杭区良渚街道社区卫生服务中心港南村社区卫生服务站', None, '社区卫生服务中心', '浙江省', '杭州市', '余杭区', 0, '余杭区良渚街道港南村西良')
('海宁市唐新军牙科诊所', None, '诊所', '浙江省', '嘉兴市', '海宁市', 0, '海宁市海昌街道洛隆路603-8号')
('杭州市余杭区良渚街道社区卫生服务中心崇福社区卫生服务站', None, '社区卫生服务中心', '浙江省', '杭州市', '余杭区', 0, '余杭区良渚街道崇福村')
('杭州市余杭区良渚街道社区卫生服务中心棕榈湾社区卫生服务站', None, '社区卫生服务中心', '浙江省', '杭州市', '余杭区', 0, '杭州市余杭区良渚街道棕榈路65-3号')
('杭州市余杭区良渚街道社区卫生服务中心安溪村社区卫生服务站', None, '社区卫生服务中心', '浙江省', '杭州市', '余杭区', 0, '杭州市余杭区良渚街道安溪村上溪')
('杭州市余杭区良渚街道社区卫生服务中心石桥村社区卫生服务站', None, '社区卫生服务中心', '浙江省', '杭州市', '余杭区', 0, '杭州市余杭区良渚街道石桥村')
('江山严荣新诊所', None, '诊所', '浙江省', '衡州市', '江山市', 0, '江山市虎山街道江东大道412-418')
('杭州市余杭区良渚街道社区卫生服务中心小洋坝村社区卫生服务站', None, '社区卫生服务中心', '浙江省', '杭州市', '余杭区', 0, '良渚街道小洋坝村农居点')
('杭州市余杭区良渚街道社区卫生服务中心亲亲家园社区卫生服务站', None, '社区卫生服务中心', '浙江省', '杭州市', '余杭区', 0, '杭州市余杭区良渚街道亲亲家园三和大街17号')
('杭州市余杭区良渚街道社区卫生服务中心运河村社区卫生服务站', None, '社区卫生服务中心', '浙江省', '杭州市', '余杭区', 0, '杭州市余杭区良渚街道郁宅街道李家塘6号')
('杭州瑞尔立口腔门诊部', None, '门诊部', '浙江省', '杭州市', '滨江区', 0, '杭州滨江江南大道588号恒鑫大厦1303室')
('杭州市余杭区良渚街道社区卫生服务中心杜甫村社区卫生服务站', None, '社区卫生服务中心', '浙江省', '杭州市', '余杭区', 0, '杭州市余杭区良渚街道杜甫村')
('杭州市余杭区良渚街道社区卫生服务中心东莲村社区卫生服务站', None, '社区卫生服务中心', '浙江省', '杭州市', '余杭区', 0, '杭州市余杭区良渚街道东莲村')
('杭州市余杭区良渚街道社区卫生服务中心纤石村社区卫生服务站', None, '社区卫生服务中心', '浙江省', '杭州市', '余杭区', 0, '杭州市余杭区良渚街道纤石村')
('宁海桥头胡陈云兵西医诊所', None, '诊所', '浙江省', '宁波市', '宁海县', 0, '宁海县桥头胡街道桥头路4号')
('杭州市余杭区良渚街道社区卫生服务中心大陆村社区卫生服务站', None, '社区卫生服务中心', '浙江省', '杭州市', '余杭区', 0, '余杭区良渚街道大陆村')
('永嘉魏瑞梧妇科诊所', None, '诊所', '浙江省', '温州市', '永嘉县', 0, '永嘉县南城街道环城西路44弄3号')
('杭州市余杭区良渚街道社区卫生服务中心南庄兜村社区卫生服务站', None, '社区卫生服务中心', '浙江省', '杭州市', '余杭区', 0, '杭州市余杭区良渚街道南庄兜村星桥港石道地25号')
('义乌杨政日口腔门诊部', None, '门诊部', '浙江省', '金华市', '义乌市', 0, '义乌市沪江路16号')
('苏德台内科诊所', None, '诊所', '浙江省', '温州市', '文成县', 0, '文成县大峃镇二新街58号')
('杭州市余杭区良渚街道社区卫生服务中心西塘河村社区卫生服务站', None, '社区卫生服务中心', '浙江省', '杭州市', '余杭区', 0, '余杭区良渚街道西塘河村')
('杭州市余杭区良渚街道社区卫生服务中心', None, '社区卫生服务中心', '浙江省', '杭州市', '余杭区', 0, '杭州市余杭区良渚街道玉琮路151号(安溪路44号、逸盛路98号、大陆路15号)')
('绍兴市柯桥区福全镇胜利社区卫生服务站', None, '社区卫生服务中心', '浙江省', '绍兴市', '柯桥区', 0, '柯桥区福全镇胜利村')
('绍兴市柯桥区福全镇容山社区卫生服务站', None, '社区卫生服务中心', '浙江省', '绍兴市', '柯桥区', 0, '柯桥区福全镇容山村')
('绍兴市柯桥区福全镇龙尾山社区卫生服务站', None, '社区卫生服务中心', '浙江省', '绍兴市', '柯桥区', 0, '柯桥区福全镇龙尾山村')
('绍兴市柯桥区福全镇劳家畈社区卫生服务站', None, '社区卫生服务中心', '浙江省', '绍兴市', '柯桥区', 0, '柯桥区福全镇大生村')
('绍兴市柯桥区福全镇赵家畈社区卫生服务站', None, '社区卫生服务中心', '浙江省', '绍兴市', '柯桥区', 0, '柯桥区福全镇欣华村')
('海宁市计划生育宣传技术指导站门诊部', None, '门诊部', '浙江省', '嘉兴市', '海宁市', 0, '海宁市长埭路428号')
('桐乡康石中西医结合门诊部', None, '门诊部', '浙江省', '嘉兴市', '桐乡市', 0, '桐乡市崇福大道666号')
('朱德琳中医诊所', None, '诊所', '浙江省', '温州市', '文成县', 0, '文成县珊溪镇新建西路30号')
('文成县计划生育宣传技术指导站门诊部', None, '门诊部', '浙江省', '温州市', '文成县', 0, '文成县大峃镇栖云路1-12号')
('湖州市吴兴区埭溪医院', None, '综合医院', '浙江省', '湖州市', '吴兴区', 0, '湖州市吴兴区埭溪镇上强路100号')
('苍南县灵溪镇灵江社区卫生服务站', None, '社区卫生服务中心', '浙江省', '温州市', '苍南县', 0, '苍南县灵溪镇灵江街167-169号')
('朱国强西医内科诊所', None, '诊所', '浙江省', '湖州市', '吴兴区', 0, '湖州市吴兴区织里镇富康路97号')
('温州市瓯海郭溪左雪武西医内科诊所', None, '诊所', '浙江省', '温州市', '瓯海区', 0, '温州市瓯海郭溪街道塘下村上村巷9-11号')
('温州市瓯海郭溪浦东康乐卫生室', None, '社区卫生服务中心', '浙江省', '温州市', '瓯海区', 0, '温州市瓯海区郭溪街道浦东村振革路17号')
('温州市瓯海郭溪叶冬蕊西医内科诊所', None, '诊所', '浙江省', '温州市', '瓯海区', 0, '温州市瓯海区郭溪梅屿路（鹏吉旺鞋业一楼西边60平方米）')
('温州市瓯海郭溪颜贤赞西医内科诊所', None, '诊所', '浙江省', '温州市', '瓯海区', 0, '温州市瓯海郭溪街道五和路59号')
('湖州市吴兴区杨家埠镇社区卫生服务中心', None, '社区卫生服务中心', '浙江省', '湖州市', '吴兴区', 0, '湖州市吴兴区杨家埠镇九九桥赵湾1路')
('杭州市萧山区新街街道社区卫生服务中心', None, '社区卫生服务中心', '浙江省', '杭州市', '萧山区', 0, '萧山区新街街道人民路116号')
('余姚同泰堂中医门诊部', None, '门诊部', '浙江省', '宁波市', '余姚市', 0, '余姚市城区大黄桥路106号二楼')
('宁海县前童镇卫生院', None, '乡镇卫生院', '浙江省', '宁波市', '宁海县', 0, '宁海县前童镇鹿分村')
('宁海跃龙周瑞端西医诊所', None, '诊所', '浙江省', '宁波市', '宁海县', 0, '宁海县跃龙街道淮河路107号')
('宁海跃龙徐长春中医诊所', None, '诊所', '浙江省', '宁波市', '宁海县', 0, '宁海县跃龙街道兴宁南路130号')
('温州市平阳县平安医药连锁有限公司大昌药店中医坐堂医诊所', None, '诊所', '浙江省', '温州市', '平阳县', 0, '平阳县萧江镇麻步大桥路65-67号')
('江山市石门镇卫生院郎峰卫生室', None, '乡镇卫生院', '浙江省', '衡州市', '江山市', 0, '江山市石门镇郎峰村')
('温州市平阳县平安医药连锁有限公司朝阳店中医坐堂医诊所', None, '诊所', '浙江省', '温州市', '平阳县', 0, '平阳县鳌江镇朝阳街31号')
('温岭市新河镇披云中医社区卫生服务站', None, '社区卫生服务中心', '浙江省', '台州市', '温岭市', 0, '温岭市新河镇后行村新新南路45号')
('仙居县步路乡七里社区卫生服务站', None, '社区卫生服务中心', '浙江省', '台州市', '仙居县', 0, '仙居县步路乡上横头村')
('仙居县步路乡王宅社区卫生服务站', None, '社区卫生服务中心', '浙江省', '台州市', '仙居县', 0, '仙居县步路乡王宅村')
('仙居县步路乡卫生院', None, '乡镇卫生院', '浙江省', '台州市', '仙居县', 0, '仙居县步路乡步路村')
('仙居县官路镇卫生院', None, '乡镇卫生院', '浙江省', '台州市', '仙居县', 0, '仙居县官路镇石井村')
('绍兴市上虞区百官街道凤山社区卫生服务站', None, '社区卫生服务中心', '浙江省', '绍兴市', '上虞区', 0, '绍兴市上虞区百官街道凤山路186-188号')
('奉化赵惠存口腔诊所', None, '诊所', '浙江省', '宁波市', '奉化区', 0, '奉化市岳林街道中山锦庭2幢4号')
('乐清柳市真安内科诊所', None, '诊所', '浙江省', '温州市', '乐清市', 0, '乐清市柳市镇松鹤南路2号')
('乐清柳市顺进内科诊所', None, '诊所', '浙江省', '温州市', '乐清市', 0, '乐清市柳市镇虎啸路264号')
('平阳县鳌江镇南麂卫生院', None, '乡镇卫生院', '浙江省', '温州市', '平阳县', 0, '平阳县鳌江镇南麂司令部2号')
('湖州市横街卫生院', None, '乡镇卫生院', '浙江省', '湖州市', '南浔区', 0, '湖州市南浔区南浔镇横街集镇新街29号')
('南浔金柏顺内科诊所', None, '诊所', '浙江省', '湖州市', '南浔区', 0, '湖州市南浔区南浔镇浔南新村二期二区1幢园林路611号')
('瑞安瑞宁综合门诊部', None, '门诊部', '浙江省', '温州市', '瑞安市', 0, '瑞安市飞云街道温州市原种场')
('南浔双林沈继梁牙科诊所', None, '诊所', '浙江省', '湖州市', '南浔区', 0, '湖州市南浔区双林镇和睦东路134号')
('永嘉王斌内科诊所', None, '诊所', '浙江省', '温州市', '永嘉县', 0, '永嘉县江北街道解南路10号109-110店面')
('湖州和孚黄荣顺牙科诊所', None, '诊所', '浙江省', '湖州市', '南浔区', 0, '湖州市南浔区和孚镇重兆向阳街87号')
('瑞安市塘下镇罗凤卫生院', None, '乡镇卫生院', '浙江省', '温州市', '瑞安市', 0, '瑞安市塘下镇凤川村')
('永嘉戴成兴内科诊所', None, '诊所', '浙江省', '温州市', '永嘉县', 0, '永嘉县江北街道创新路12号')
('塘下镇罗南社区卫生服务站', None, '社区卫生服务中心', '浙江省', '温州市', '瑞安市', 0, '瑞安市塘下镇中南村育才西路5号')
('南浔和孚慎云如内科诊所', None, '诊所', '浙江省', '湖州市', '南浔区', 0, '南浔和孚重兆向阳街121号')
('南浔练市尚小燕口腔诊所', None, '诊所', '浙江省', '湖州市', '南浔区', 0, '湖州市南浔区练市镇能源路西侧')
('南浔李德奎外科诊所', None, '诊所', '浙江省', '湖州市', '南浔区', 0, '南浔镇浔北村园区浔北路浔北新村二期店面房')
('永嘉县大若岩镇中心卫生院', None, '乡镇卫生院', '浙江省', '温州市', '永嘉县', 0, '永嘉县大若岩镇白泉村')
('永嘉朱千勇中医骨伤科诊所', None, '诊所', '浙江省', '温州市', '永嘉县', 0, '永嘉县桥下镇桥西街27号')
('丽水新侨诊所', None, '诊所', '浙江省', '丽水市', '莲都区', 0, '丽水市宇雷路596号')
('丽水天壤诊所', None, '诊所', '浙江省', '丽水市', '莲都区', 0, '丽水市莲都区寿尔福路686--690号')
('杭州朗迅健康管理有限公司铭雅苑口腔诊所', None, '诊所', '浙江省', '杭州市', '余杭区', 0, '杭州市余杭区良渚街道铭雅苑西区14-4号')
